     Province/State  Country/Region    Last Update  Confirmed  Deaths  Recovered
0             Hubei  Mainland China  1/27/20 19:00       1423    76.0       45.0
1         Guangdong  Mainland China  1/27/20 19:00        151     NaN        4.0
2          Zhejiang  Mainland China  1/27/20 19:00        128     NaN        1.0
3             Henan  Mainland China  1/27/20 19:00        128     1.0        NaN
4         Chongqing  Mainland China  1/27/20 19:00        110     NaN        NaN
5             Hunan  Mainland China  1/27/20 19:00        100     NaN        NaN
6           Beijing  Mainland China  1/27/20 19:00         80     1.0        2.0
7          Shandong  Mainland China  1/27/20 19:00         75     NaN        NaN
8           Jiangxi  Mainland China  1/27/20 19:00         72     NaN        2.0
9             Anhui  Mainland China  1/27/20 19:00         70     NaN        NaN
10          Sichuan  Mainland China  1/27/20 19:00         69     NaN        NaN
11           Fujian  Mainland China  1/27/20 19:00         59     NaN        NaN
12         Shanghai  Mainland China  1/27/20 19:00         53     1.0        3.0
13          Jiangsu  Mainland China  1/27/20 19:00         47     NaN        1.0
14          Guangxi  Mainland China  1/27/20 19:00         46     NaN        NaN
15          Shaanxi  Mainland China  1/27/20 19:00         35     NaN        NaN
16           Hainan  Mainland China  1/27/20 19:00         33     1.0        NaN
17         Liaoning  Mainland China  1/27/20 19:00         27     NaN        NaN
18           Yunnan  Mainland China  1/27/20 19:00         26     NaN        NaN
19          Tianjin  Mainland China  1/27/20 19:00         23     NaN        NaN
20     Heilongjiang  Mainland China  1/27/20 19:00         21     1.0        NaN
21            Hebei  Mainland China  1/27/20 19:00         18     1.0        NaN
22            Gansu  Mainland China  1/27/20 19:00         14     NaN        NaN
23           Shanxi  Mainland China  1/27/20 19:00         13     NaN        NaN
24   Inner Mongolia  Mainland China  1/27/20 19:00         11     NaN        NaN
25        Hong Kong       Hong Kong  1/27/20 19:00          8     NaN        NaN
26          Guizhou  Mainland China  1/27/20 19:00          7     NaN        NaN
27          Ningxia  Mainland China  1/27/20 19:00          7     NaN        NaN
28            Jilin  Mainland China  1/27/20 19:00          6     NaN        NaN
29            Macau           Macau  1/27/20 19:00          6     NaN        NaN
30          Qinghai  Mainland China  1/27/20 19:00          6     NaN        NaN
31           Taiwan          Taiwan  1/27/20 19:00          5     NaN        NaN
32         Xinjiang  Mainland China  1/27/20 19:00          5     NaN        NaN
33       Washington              US  1/27/20 19:00          1     NaN        NaN
34         Illinois              US  1/27/20 19:00          1     NaN        NaN
35       California              US  1/27/20 19:00          2     NaN        NaN
36          Arizona              US  1/27/20 19:00          1     NaN        NaN
37              NaN           Japan  1/27/20 19:00          4     NaN        1.0
38              NaN        Thailand  1/27/20 19:00          8     NaN        2.0
39              NaN     South Korea  1/27/20 19:00          4     NaN        NaN
40              NaN      Singapore   1/27/20 19:00          5     NaN        NaN
41              NaN         Vietnam  1/27/20 19:00          2     NaN        NaN
42              NaN          France  1/27/20 19:00          3     NaN        NaN
43              NaN           Nepal  1/27/20 19:00          1     NaN        NaN
44              NaN       Malaysia   1/27/20 19:00          4     NaN        NaN
45          Ontario          Canada  1/27/20 19:00          1     NaN        NaN
46              NaN        Cambodia  1/27/20 19:00          1     NaN        NaN
47              NaN       Sri Lanka  1/27/20 19:00          1     NaN        NaN
48              NaN     Ivory Coast  1/27/20 19:00          1     NaN        NaN
49  New South Wales       Australia  1/27/20 19:00          4     NaN        NaN
50         Victoria       Australia  1/27/20 19:00          1     NaN        NaN
